full_address,latitude,longitude,location_type
"14 W 14TH ST, NEW YORK, NY 10011, USA",40.738969,-74.00067,GEOMETRIC_CENTER
"46 E 21ST ST, NEW YORK, NY 10010, USA",40.73908369999999,-73.9881712,ROOFTOP
"138 5TH AVE FL 2, NEW YORK, NY 10011, USA",40.7390851,-73.9918869,ROOFTOP
"452 1ST AVE, NEW YORK, NY 10016, USA",40.7391684,-73.976467,ROOFTOP
"122 E 23RD ST, NEW YORK, NY 10010, USA",40.7393775,-73.98552579999999,ROOFTOP
"455 FIRST AVENUE, NEW YORK, NY 10013, USA",40.7394052,-73.9776358,ROOFTOP
"137 5TH AVE, NEW YORK, NY 10010, USA",40.7396956,-73.99050390000001,ROOFTOP
"915 BROADWAY STE 1106, NEW YORK, NY 10010, USA",40.7397236,-73.9898552,ROOFTOP
"10 E 21ST ST, NEW YORK, NY 10010, USA",40.7399045,-73.9902024,ROOFTOP
"928 BROADWAY, NEW YORK, NY 10010, USA",40.7399349,-73.9895399,ROOFTOP
"450 E 29TH ST, NEW YORK, NY 10016, USA",40.7399587,-73.9741159,ROOFTOP
"156 5TH AVE STE 822, NEW YORK, NY 10010, USA",40.7400096,-73.99103629999999,ROOFTOP
"928 BROADWAY STE 803, NEW YORK, NY 10010, USA",40.7400692,-73.9893848,ROOFTOP
"113 E 23RD ST, NEW YORK, NY 10010, USA",40.7401561,-73.9856887,ROOFTOP
"243 W 15TH ST APT 2RW, NEW YORK, NY 10011, USA",40.7401927,-74.000866,ROOFTOP
"27 W 20TH ST STE 306, NEW YORK, NY 10011, USA",40.740627,-73.99274199999999,ROOFTOP
"166 5TH AVE, NEW YORK, NY 10010, USA",40.7407172,-73.9906014,ROOFTOP
"37 W 20TH ST, NEW YORK, NY 10011, USA",40.7407938,-73.9933119,ROOFTOP
"230 W 17TH ST, NEW YORK, NY 10011, USA",40.7409512,-73.999838,ROOFTOP
"1 MADISON AVE # LEVEL2B, NEW YORK, NY 10010, USA",40.7409553,-73.9877482,ROOFTOP
"19 W 21ST ST RM 404, NEW YORK, NY 10010, USA",40.7410024,-73.991745,ROOFTOP
"325 WEST 15TH STREET, NEW YORK, NY 10011, USA",40.74121359999999,-74.003478,ROOFTOP
"325 W 15TH ST, NEW YORK, NY 10011, USA",40.74121359999999,-74.003478,ROOFTOP
"270 W 17TH ST APT 11B, NEW YORK, NY 10011, USA",40.7412309,-74.0010072,ROOFTOP
"147 E 26TH ST, NEW YORK, NY 10010, USA",40.7412394,-73.982411,ROOFTOP
"336 E 30TH ST, NEW YORK, NY 10016, USA",40.7413658,-73.9763279,ROOFTOP
"10 AMSTERDAM AVENUE, NEW YORK, NY 10023, USA",40.7414076,-74.0082908,ROOFTOP
"229 E 28TH ST, NEW YORK, NY 10016, USA",40.7414885,-73.97937010000001,ROOFTOP
"332 EAST 30TH ST., NEW YORK, NY 10016, USA",40.7415148,-73.9764046,ROOFTOP
"121A WEST 20TH STREET, NEW YORK, NY 10011, USA",40.7415406,-73.9949582,ROOFTOP
